# packages in environment at /soft/applications/conda/2026-09-17/mconda3:
#
# Name                                      Version                           Build                  Channel
huggingface-hub                             1.31.0                            pypi_0                 pypi
humanize                                    4.16.0                            pypi_0                 pypi
humming-kernels                             0.1.12                            pypi_0                 pypi
hydra-colorlog                              1.2.0                             pypi_0                 pypi
hydra-core                                  1.3.7                             pypi_0                 pypi
hyperframe                                  6.1.0                             pyhd8ed1ab_0           conda-forge
icu                                         78.3                              py310h44b86e0_2        conda-forge
idna                                        3.19                              pyhcf101f3_0           conda-forge
ijson                                       3.5.1                             pypi_0                 pypi
imageio                                     2.37.4                            pypi_0                 pypi
immutabledict                               4.3.1                             pypi_0                 pypi
importlib-metadata                          9.0.1                             pyhcf101f3_0           conda-forge
iniconfig                                   2.3.0                             pypi_0                 pypi
instanttensor                               0.2.0                             pypi_0                 pypi
interegular                                 0.3.3                             pypi_0                 pypi
ipykernel                                   7.3.0                             pypi_0                 pypi
ipython                                     9.17.1                            pypi_0                 pypi
ipython-pygments-lexers                     1.1.1                             pypi_0                 pypi
ipywidgets                                  8.1.9                             pypi_0                 pypi
isoduration                                 20.11.0                           pypi_0                 pypi
jaraco-functools                            4.6.0                             pypi_0                 pypi
jax                                         0.11.1                            pypi_0                 pypi
jax-cuda13-pjrt                             0.11.1                            pypi_0                 pypi
jax-cuda13-plugin                           0.11.1                            pypi_0                 pypi
jaxlib                                      0.11.1                            pypi_0                 pypi
jedi                                        0.20.0                            pypi_0                 pypi
jinja2                                      3.1.6                             pyhcf101f3_1           conda-forge
jiter                                       0.17.0                            pypi_0                 pypi
jmespath                                    1.1.0                             pypi_0                 pypi
joblib                                      1.6.0                             pypi_0                 pypi
json5                                       0.15.0                            pypi_0                 pypi
jsonpickle                                  4.1.2                             pypi_0                 pypi
jsonpointer                                 3.1.1                             pypi_0                 pypi
jsonschema                                  4.26.0                            pyhcf101f3_1           conda-forge
jsonschema-specifications                   2025.9.1                          pyhcf101f3_0           conda-forge
jupyter                                     1.1.1                             pypi_0                 pypi
jupyter-builder                             1.2.3                             pypi_0                 pypi
jupyter-client                              8.10.0                            pypi_0                 pypi
jupyter-console                             6.6.3                             pypi_0                 pypi
jupyter-core                                5.9.1                             pypi_0                 pypi
jupyter-events                              0.12.1                            pypi_0                 pypi
jupyter-lsp                                 2.3.1                             pypi_0                 pypi
jupyter-server                              2.21.1                            pypi_0                 pypi
jupyter-server-terminals                    0.5.4                             pypi_0                 pypi
jupyterlab                                  4.6.3                             pypi_0                 pypi
jupyterlab-pygments                         0.3.0                             pypi_0                 pypi
jupyterlab-server                           2.28.1                            pypi_0                 pypi
jupyterlab-widgets                          3.0.17                            pypi_0                 pypi
keopscore                                   2.3                               pypi_0                 pypi
keras                                       3.15.1                            pypi_0                 pypi
keras-applications                          1.0.8                             pypi_0                 pypi
keras-preprocessing                         1.1.2                             pypi_0                 pypi
keyutils                                    1.6.3                             h7cc23a3_1             conda-forge
kiwisolver                                  1.5.1                             pypi_0                 pypi
krb5                                        1.22.2                            hbc21106_2             conda-forge
lark                                        1.2.2                             pypi_0                 pypi
lazy-loader                                 0.5                               pypi_0                 pypi
ld_impl_linux-64                            2.46.1                            default_hbd61a6d_102   conda-forge
lerc                                        4.2.0                             hdb68285_0             conda-forge
libaio                                      0.3.113                           h166bdaf_0             conda-forge
libarchive                                  3.8.9                             gpl_h3152399_101       conda-forge
libblas                                     3.11.0                            11_h4a7cf45_openblas   conda-forge
libcblas                                    3.11.0                            11_h0358290_openblas   conda-forge
libclang                                    18.1.1                            pypi_0                 pypi
libcups                                     2.3.3                             h7a8fb5f_6             conda-forge
libcurl                                     8.22.0                            ha042cf0_0             conda-forge
libdeflate                                  1.25                              hd45a770_1             conda-forge
libdrm                                      2.4.129                           h7cc23a3_0             conda-forge
libedit                                     3.1.20250104                      pl5321h373387f_1       conda-forge
libegl                                      1.7.0                             ha4b6fd6_5             conda-forge
libegl-devel                                1.7.0                             ha4b6fd6_5             conda-forge
libensemble                                 1.6.1                             pypi_0                 pypi
libev                                       4.33                              h280c20c_3             conda-forge
libexpat                                    2.8.1                             hecca717_1             conda-forge
libffi                                      3.7.0                             h81df57d_1             conda-forge
libfreetype                                 2.14.3                            ha770c72_2             conda-forge
libfreetype6                                2.14.3                            h5e6c136_2             conda-forge
libgcc                                      16.2.0                            ha9f2e26_4             conda-forge
libgcc-ng                                   16.2.0                            h69a702a_4             conda-forge
libgd                                       2.3.3                             h5fbf134_12            conda-forge
libgfortran                                 16.2.0                            h69a702a_5             conda-forge
libgfortran5                                16.2.0                            h6b99dfc_5             conda-forge
libgl                                       1.7.0                             ha4b6fd6_5             conda-forge
libgl-devel                                 1.7.0                             ha4b6fd6_5             conda-forge
libglib                                     2.90.0                            h569388d_0             conda-forge
libglvnd                                    1.7.0                             ha4b6fd6_5             conda-forge
libglx                                      1.7.0                             ha4b6fd6_5             conda-forge
libglx-devel                                1.7.0                             ha4b6fd6_5             conda-forge
libgomp                                     16.2.0                            he0feb66_4             conda-forge
libharfbuzz                                 14.4.0                            h23af247_1             conda-forge
libharfbuzz-devel                           14.4.0                            h23af247_1             conda-forge
libhiredis                                  1.3.0                             h5888daf_1             conda-forge
libhwloc                                    2.13.0                            default_he001693_1000  conda-forge
libiconv                                    1.18                              h0cb94f2_3             conda-forge
libjpeg-turbo                               3.2.0                             hb03c661_1             conda-forge
liblapack                                   3.11.0                            11_h47877c9_openblas   conda-forge
liblief                                     1.0.0                             h45ba95f_5             conda-forge
liblzma                                     5.8.3                             hb03c661_1             conda-forge
libmamba                                    2.9.0                             py314h6ba947b_0        conda-forge
libmamba-spdlog                             2.9.0                             h5efa3ab_0             conda-forge
libmambapy                                  2.9.0                             py313h903fcd3_0        conda-forge
libmpdec                                    4.0.0                             hb03c661_2             conda-forge
libmsgpack-c                                6.1.0                             h54a6638_7             conda-forge
libnghttp2                                  1.68.1                            h74cf4be_1             conda-forge
libopenblas                                 0.3.34                            pthreads_hf13c14d_2    conda-forge
libpciaccess                                0.19                              hb03c661_1             conda-forge
libpng                                      1.6.58                            h922cc85_1             conda-forge
libpsl                                      0.23.1                            hd9e3e90_1             conda-forge
libpython                                   3.13.15                           hdc7f604_103_cp313     conda-forge
librsvg                                     2.62.3                            h4c96295_0             conda-forge
libsolv                                     0.7.39                            h72ddc62_1             conda-forge
libsqlite                                   3.53.4                            h13e7031_1             conda-forge
libssh2                                     1.11.1                            h6154650_1             conda-forge
libstdcxx                                   16.2.0                            h934c35e_4             conda-forge
libstdcxx-ng                                16.2.0                            hdf11a46_4             conda-forge
libtiff                                     4.7.2                             hcc2c06a_1             conda-forge
libuuid                                     2.42.3                            hcfc3c73_0             conda-forge
libuv                                       1.52.1                            h280c20c_1             conda-forge
libwebp-base                                1.6.0                             hd42ef1d_1             conda-forge
libxcb                                      1.17.0                            hb83e432_2             conda-forge
libxkbcommon                                1.13.2                            h51789e4_1             conda-forge
libxml2                                     2.15.4                            h7df9aa5_0             conda-forge
libxml2-16                                  2.15.4                            hf3af7cc_0             conda-forge
libzlib                                     1.3.2                             h25fd6f3_3             conda-forge
lightning                                   2.6.6                             pypi_0                 pypi
lightning-utilities                         0.15.3                            pypi_0                 pypi
line-profiler                               5.0.2                             pypi_0                 pypi
linear-operator                             0.6.1                             pypi_0                 pypi
llguidance                                  1.7.6                             pypi_0                 pypi
llvm-openmp                                 23.1.1                            h7148c6a_0             conda-forge
llvmlite                                    0.49.0                            py313hd9b1b65_3        conda-forge
lm-format-enforcer                          0.11.3                            pypi_0                 pypi
locket                                      1.0.0                             pypi_0                 pypi
lockfile                                    0.12.2                            pypi_0                 pypi
loguru                                      0.7.3                             pypi_0                 pypi
