# packages in environment at /soft/applications/conda/2025-09-24/mconda3:
#
# Name                                Version                                      Build                  Channel
pip                                   25.2                                         pyh8b19718_0           conda-forge
pixman                                0.46.4                                       h54a6638_1             conda-forge
pkginfo                               1.12.1.2                                     pyhd8ed1ab_0           conda-forge
platformdirs                          4.3.8                                        pyhe01879c_0           conda-forge
plotext                               5.3.2                                        pypi_0                 pypi
pluggy                                1.6.0                                        pyhd8ed1ab_0           conda-forge
ply                                   3.11                                         pypi_0                 pypi
portpicker                            1.6.0                                        pypi_0                 pypi
prometheus-client                     0.23.1                                       pypi_0                 pypi
prometheus-fastapi-instrumentator     7.1.0                                        pypi_0                 pypi
promise                               2.3                                          pypi_0                 pypi
prompt-toolkit                        3.0.52                                       pypi_0                 pypi
propcache                             0.3.2                                        pypi_0                 pypi
proto-plus                            1.26.1                                       pypi_0                 pypi
protobuf                              6.32.1                                       pypi_0                 pypi
psutil                                7.1.0                                        py312h4c3975b_0        conda-forge
pthread-stubs                         0.4                                          hb9d3cd8_1002          conda-forge
ptyprocess                            0.7.0                                        pypi_0                 pypi
pure-eval                             0.2.3                                        pypi_0                 pypi
py-cpuinfo                            9.0.0                                        pypi_0                 pypi
py-lief                               0.16.6                                       py312h2ec8cdc_0        conda-forge
py-spy                                0.4.1                                        pypi_0                 pypi
py4j                                  0.10.9.9                                     pypi_0                 pypi
pyarrow                               21.0.0                                       pypi_0                 pypi
pyasn1                                0.6.1                                        pypi_0                 pypi
pyasn1-modules                        0.4.2                                        pypi_0                 pypi
pybase64                              1.4.2                                        pypi_0                 pypi
pybind11                              3.0.1                                        pypi_0                 pypi
pybind11-abi                          4                                            hd8ed1ab_3             conda-forge
pycosat                               0.6.6                                        py312h66e93f0_2        conda-forge
pycountry                             24.6.1                                       pypi_0                 pypi
pycparser                             2.22                                         pyh29332c3_1           conda-forge
pycryptodomex                         3.23.0                                       pypi_0                 pypi
pydantic                              2.11.9                                       pypi_0                 pypi
pydantic-core                         2.33.2                                       pypi_0                 pypi
pydantic-extra-types                  2.10.5                                       pypi_0                 pypi
pydot                                 4.0.1                                        pypi_0                 pypi
pyg-lib                               0.4.0+pt28cu129                              pypi_0                 pypi
pygments                              2.19.2                                       pypi_0                 pypi
pyinstrument                          5.1.1                                        pypi_0                 pypi
pykeops                               2.3                                          pypi_0                 pypi
pylatexenc                            2.10                                         pypi_0                 pypi
pymongo                               4.14.1                                       py312h1289d80_0        conda-forge
pymoo                                 0.6.1.5                                      pypi_0                 pypi
pynvml                                13.0.1                                       pypi_0                 pypi
pyparsing                             3.2.5                                        pypi_0                 pypi
pyproject-hooks                       1.2.0                                        pypi_0                 pypi
pyright                               1.1.406                                      pypi_0                 pypi
pysocks                               1.7.1                                        pyha55dd90_7           conda-forge
pytest                                8.4.2                                        pypi_0                 pypi
python                                3.12.11                                      h9e4cc4f_0_cpython     conda-forge
python-dateutil                       2.9.0.post0                                  pypi_0                 pypi
python-dotenv                         1.1.1                                        pypi_0                 pypi
python-json-logger                    3.3.0                                        pypi_0                 pypi
python-libarchive-c                   5.3                                          pyhe01879c_1           conda-forge
python-multipart                      0.0.20                                       pypi_0                 pypi
python_abi                            3.12                                         8_cp312                conda-forge
pytorch-lightning                     2.5.5                                        pypi_0                 pypi
pytz                                  2025.2                                       pyhd8ed1ab_0           conda-forge
pyvers                                0.1.0                                        pypi_0                 pypi
pyyaml                                6.0.3                                        py312h8a5da7c_0        conda-forge
pyzmq                                 27.1.0                                       pypi_0                 pypi
qwen-vl-utils                         0.0.14                                       pypi_0                 pypi
ray                                   2.49.2                                       pypi_0                 pypi
readline                              8.2                                          h8c095d6_2             conda-forge
redis                                 6.4.0                                        pypi_0                 pypi
referencing                           0.36.2                                       pyh29332c3_0           conda-forge
regex                                 2025.9.18                                    pypi_0                 pypi
reproc                                14.2.5.post0                                 hb9d3cd8_0             conda-forge
reproc-cpp                            14.2.5.post0                                 h5888daf_0             conda-forge
requests                              2.32.5                                       pyhd8ed1ab_0           conda-forge
requests-oauthlib                     2.0.0                                        pypi_0                 pypi
restrictedpython                      8.0                                          pypi_0                 pypi
rfc3339-validator                     0.1.4                                        pypi_0                 pypi
rfc3986-validator                     0.1.1                                        pypi_0                 pypi
rfc3987-syntax                        1.1.0                                        pypi_0                 pypi
rhash                                 1.4.6                                        hb9d3cd8_1             conda-forge
rich                                  14.1.0                                       pypi_0                 pypi
